Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
,,2010,Modern Carousel Loading Mechanism,Modern Carousel Loading Mechanism,,Carousel Autoloader IV,Loader_3d_Carousel,-12.5%,,,15%,,15%,16,,1,,,30%,,,1,,,,,,8%,0.8,,,,5.95,,1.5,,,,1,,,,
,,1965,Early Conveyor Belt Loading Mechanism,Early Conveyor Belt Loading Mechanism,,Belt Autoloader I,Loader_4a_Belt,-15%,,,12.5%,,12.5%,11,,-4,,,15%,,,0.5,,,,,,12%,0.35,,,,4.5,,1.2,,,,1,,,,
,,1985,Advanced Conveyor Belt Loading Mechanism,Advanced Conveyor Belt Loading Mechanism,,Belt Autoloader II,Loader_4b_Belt,-12.5%,,,15%,,15%,14,,-1,,,15%,,,0.5,,,,,,12%,0.65,,,,5.15,,1.2,,,,1,,,,
,,2005,Modern Conveyor Belt Loading Mechanism,Modern Conveyor Belt Loading Mechanism,,Belt Autoloader III,Loader_4c_Belt,-10%,,,17.5%,,17.5%,17,,2,,,15%,,,0.5,,,,,,12%,0.95,,,,5.8,,1.2,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Artillery-Exclusive Autoloaders [DONE],1965,Artillery Mechanised Ammo Rack,Early Conveyor Belt Loading Mechanism,,Mech Ammo Rack I,Loader_5a_Arty_Mech,-10%,,,7.5%,,7.5%,6,,3,,,,,,,,,,,,10%,0.15,,,,2.5,,0.9,,,,,,,,
,,1985,Advanced Artillery Mechanised Ammo Rack,Advanced Conveyor Belt Loading Mechanism,,Mech Ammo Rack II,Loader_5b_Arty_Mech,-7.5%,,,10%,,10%,9,,4.5,,,,,,,,,,,,10%,0.4,,,,3.5,,0.9,,,,1,,,,
,,2005,Modern Artillery Mechanised Ammo Rack,Modern Conveyor Belt Loading Mechanism,,Mech Ammo Rack III,Loader_5c_Arty_Mech,-5%,,,12.5%,,12.5%,12,,6,,,,,,,,,,,,10%,0.65,,,,4.5,,0.9,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aiming [DONE],1939,Basic Aiming Mechanisms,Base,,Aiming I,Aim_0,,,,,,,1,,0.5,,,,,,,,,,,,,0,,,,0,,0.1,,,,,,,,
,,1942,One-Plane Stabilizer,One-Plane Stabilizer,,Aiming II,Aim_1,-5%,,,,,,5,5%,0.5,,,,,,,,,,,,,0.1,,,,1.2,,0.15,,,,,,,,
,,1955,Two-Plane Stabilizer,Two-Plane Stabilizer,,Aiming III,Aim_2,-5%,,,,,,9,10%,1,,,,,,,,,,,,,0.2,,,,2.4,,0.2,,,,,,,,
,,1970,Computerised Aiming Systems,Computerised Aiming Systems,,Aiming IV,Aim_3,-4%,,,,,,13,15%,2.5,5%,,,,,,,,,,,,0.3,,,,3.6,,0.25,,,,1,,,,
,,1985,Advanced Computerised Aiming Systems,Advanced Computerised Aiming Systems,,Aiming V,Aim_4,-3%,,,,,,17,20%,3,10%,,,,,,,,,,,,0.4,,,,4.8,,0.3,,,,1,,,,
,,2005,Modern Computerised Aiming Systems,Modern Computerised Aiming Systems,,Aiming VI,Aim_5,-2%,,,,,,21,25%,3.5,15%,,,,,,,,,,,,0.5,,,,6,,0.35,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aiming SPAAG [DONE],1939,Basic AA Aiming Mechanisms,Base,,AA Aiming I,Aim_AA_0,,,,,,,1,,0.5,,,,,,,,,,,,,0,,,,0.5,,0.1,,,,,,,,
,,1955,Two-Plane AA Stabilizer,Two-Plane Stabilizer,,AA Aiming II,Aim_AA_1,-5%,,,,,,9,10%,1,,,,,,,,,,,,,0.2,,,20%,3,,0.2,,,,,,,,
,,1970,Computerised AA Aiming Systems,Computerised Aiming Systems,,AA Aiming III,Aim_AA_2,-4%,,,,,,13,15%,2.5,5%,,,,,,,,,,,,0.3,,,25%,4.2,,0.25,,,,1,,,,
,,1985,Advanced Computerised AA Aiming Systems,Advanced Computerised Aiming Systems,,AA Aiming IV,Aim_AA_3,-3%,,,,,,17,20%,3,10%,,,,,,,,,,,,0.4,,,30%,5.4,,0.3,,,,1,,,,
,,2005,Modern Computerised AA Aiming Systems,Modern Computerised Aiming Systems,,AA Aiming V,Aim_AA_4,-2%,,,,,,21,25%,3.5,15%,,,,,,,,,,,,0.5,,,35%,6.6,,0.35,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Optics [DONE],1939,Basic Optic Sights,Base,,Sights I,Optics_0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.15,,,,,,,,
,,1944,Sight With Optical Rangefinder,Sight With Optical Rangefinder,,Sights II,Optics_1,-2%,,,10%,,10%,,,,5%,,-2.5%,,,,,,,,,,,,,,1,,0.25,,,,,,,,
,,1955,Stabilized Basic Sight,Stabilized Basic Sight,,Sights III,Optics_2,-2%,,,2.5%,,2.5%,,5%,,,,,,,,,,,,,,0.1,,,,1,,0.35,,,,,,,,
,,1965,Stabilized Sight With Optical Rangefinder,Stabilized Sight With Optical Rangefinder,,Sights IV,Optics_3,-3%,,,12.5%,,12.5%,,7.5%,,7.5%,,-2.5%,,,,,,,,,,0.15,,,,2,,0.45,,,,,,,,
,,1970,Sight With Laser Rangefinder,Sight With Laser Rangefinder,,Sights V,Optics_4,-4%,,,17.5%,,17.5%,,10%,,10%,,,,,,,,,,,,0.2,,,,3.5,,0.55,,,,1,,,,
,,1980,Advanced Sight With Laser Rangefinder,Advanced Sight With Laser Rangefinder,,Sights VI,Optics_5,-4%,,,20%,,20%,,12.5%,,12.5%,,,,,,,,,,,,0.25,,,,4.25,,0.65,,,,1,,,,
,,1990,Early Modern Sight With Laser Rangefinder,Early Modern Sight With Laser Rangefinder,,Sights VII,Optics_6,-4%,,,22.5%,,22.5%,,15%,,15%,,,,,,,,,,,,0.3,,,,5,,0.75,,,,1,,,,
,,2010,Advanced Sight With Laser Rangefinder,Advanced Sight With Laser Rangefinder,,Sights VIII,Optics_7,-4%,,,25%,,25%,,17.5%,,17.5%,,,,,,,,,,,,0.35,,,,5.75,,0.85,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Commander Optics [DONE],1965,Early Panoramic Sight,Early Panoramic Sight,,Panoramic Sight I,Panoramic_Sight_0,,,,,,,1.5,3%,1,3%,,,,,,,0.5,,,,,0.05,,,,2,,0.1,,,,,,,,
,,1985,Advanced Panoramic Sight,Advanced Panoramic Sight,,Panoramic Sight II,Panoramic_Sight_1,,,,,,,3,6%,2,6%,,,,,,,1,,,,,0.1,,,,3,,0.15,,,,,,,,
,,2005,Modern Panoramic Sight,Modern Panoramic Sight,,Panoramic Sight III,Panoramic_Sight_2,,,,,,,6,12%,4,12%,,,,,,,1.5,,,,,0.2,,,,4,,0.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Artillery Optics [DONE],1939,Artillery Sight,Base,,Artillery Sight I,Arty_Optics_0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.15,,,,,,,,
,,2000,Muzzle Velocity Radar,???,,Artillery Sight II,Arty_Optics_1,,,,20%,,20%,,20%,,20%,,,,,,,,,,,-10%,0.3,,,,8,,0.25,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SPAAG Optics [DONE],1939,Basic AA Optic Sights,Base,,AA Sight I,AA_Optics_0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.15,,,,,,,,
,,1970,AA sight with laser rangefinder,Sight With Laser Rangefinder,,AA Sight II,AA_Optics_1,-4%,,,17.5%,,17.5%,,10%,,10%,,,,,,,,,,,,0.2,,,10%,4.5,,0.55,,,,1,,,,
,,1980,AA sight with IR tracker,Advanced Sight With Laser Rangefinder,,AA Sight III,AA_Optics_2,-4%,,,20%,,20%,,12.5%,,12.5%,,,,,,,,,,,,0.25,,,15%,5.5,,0.65,,,,1,,,,
